Issuer,Currency,Coupon,Yield,Moody's Rating,Maturity Date,Bid,Ask,Source URL,Scrape Date,ISIN,Issue Date
"Canada, Government of...",CAD,3.00%,2.87%,Aaa,2/1/2027,100.05,100.28,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-06,ca135087s547,11/1/2024
"Canada, Government of...",CAD,0.50%,3.00%,Aaa,9/1/2025,98.41,98.43,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-06,ca135087k940,4/3/2020
"Canada, Government of...",CAD,1.50%,2.86%,Aaa,6/1/2026,98.16,98.19,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-06,ca135087e679,7/21/2015
"Canada, Government of...",CAD,4.50%,2.98%,Aaa,11/1/2025,101.18,101.27,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-06,ca135087q806,8/4/2023
"Canada, Government of...",CAD,1.50%,3.12%,Aaa,4/1/2025,99.62,99.64,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-06,ca135087n340,1/24/2022
"Canada, Government of...",CAD,3.00%,3.00%,Aaa,10/1/2025,99.97,100.05,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-06,ca135087p246,7/25/2022
"Canada, Government of...",CAD,3.75%,-,Aaa,2/1/2025,100.01,100.03,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-06,ca135087p659,11/2/2022
"Canada, Government of...",CAD,3.25%,2.83%,Aaa,8/24/2027,101.03,101.13,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-06,ca135087p733,12/2/2022
"Canada, Government of...",CAD,3.50%,3.01%,Aaa,8/1/2025,100.27,100.28,https://markets.businessinsider.com/bonds/finder?p=2&borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-06,ca135087q640,5/12/2023
"Canada, Government of...",CAD,0.25%,2.92%,Aaa,3/1/2026,96.98,96.99,https://markets.businessinsider.com/bonds/finder?p=2&borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-06,ca135087l518,10/9/2020
"Canada, Government of...",CAD,1.00%,2.87%,Aaa,9/1/2026,97.02,97.04,https://markets.businessinsider.com/bonds/finder?p=2&borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-06,ca135087l930,4/16/2021
"Canada, Government of...",CAD,3.00%,2.96%,Aaa,4/1/2026,100.05,100.07,https://markets.businessinsider.com/bonds/finder?p=2&borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-06,ca135087p816,1/20/2023
"Canada, Government of...",CAD,2.50%,3.13%,Aaa,12/1/2032,95.55,95.8,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=midterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-06,ca135087p329,8/8/2022
"Canada, Government of...",CAD,3.25%,2.90%,Aaa,9/1/2028,101.18,101.41,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=midterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-06,ca135087q491,4/21/2023
"Canada, Government of...",CAD,2.25%,2.97%,Aaa,12/1/2029,96.52,97.38,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=midterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-06,ca135087n670,3/29/2022
"Canada, Government of...",CAD,3.50%,2.95%,Aaa,9/1/2029,102.32,102.45,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=midterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-06,ca135087r895,4/8/2024
"Canada, Government of...",CAD,1.50%,3.08%,Aaa,12/1/2031,90.23,90.49,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=midterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-06,ca135087n266,10/25/2021
"Canada, Government of...",CAD,3.25%,3.20%,Aaa,12/1/2034,100.27,100.42,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=midterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-06,ca135087s216,7/12/2024
"Canada, Government of...",CAD,1.50%,3.06%,Aaa,6/1/2031,91.01,91.26,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=midterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-06,ca135087m276,4/26/2021
"Canada, Government of...",CAD,3.00%,3.19%,Aaa,6/1/2034,98.38,98.52,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=midterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-06,ca135087r481,12/27/2023
"Canada, Government of...",CAD,2.75%,2.97%,Aaa,3/1/2030,98.81,98.81,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=midterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-06,ca135087s471,10/3/2024
"Canada, Government of...",CAD,4.00%,2.92%,Aaa,3/1/2029,104.16,104.29,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=midterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-06,ca135087q988,10/13/2023
"Canada, Government of...",CAD,2.00%,2.87%,Aaa,6/1/2028,97.2,97.26,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=midterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-06,ca135087h235,8/1/2017
"Canada, Government of...",CAD,0.50%,3.03%,Aaa,12/1/2030,86.46,86.69,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=midterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-06,ca135087l443,10/5/2020
"Canada, Government of...",CAD,3.50%,2.88%,Aaa,3/1/2028,101.84,102.07,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=midterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-06,ca135087p576,10/21/2022
"Canada, Government of...",CAD,3.50%,3.17%,Aaa,3/1/2034,102.51,102.65,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=midterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-06,ca135087r713,3/1/2024
"Canada, Government of...",CAD,2.25%,2.85%,Aaa,6/1/2029,97.55,97.78,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=midterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-06,ca135087j397,7/27/2018
"Canada, Government of...",CAD,5.75%,2.86%,Aaa,6/1/2029,111.77,111.88,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=midterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-06,ca135087wl43,2/2/1998
"Canada, Government of...",CAD,2.00%,3.11%,Aaa,6/1/2032,92.64,92.89,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=midterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-06,ca135087n597,3/16/2022
"Canada, Government of...",CAD,5.75%,3.18%,Aaa,6/1/2033,118.61,119.07,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=midterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-06,ca135087xg49,10/15/2001
"Canada, Government of...",CAD,3.25%,3.19%,Aaa,12/1/2033,100.41,100.75,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=midterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-06,ca135087q723,6/26/2023
"Canada, Government of...",CAD,2.25%,3.10%,Aaa,6/1/2025,99.66,99.67,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-07,ca135087d507,6/30/2014
"Canada, Government of...",CAD,1.50%,2.87%,Aaa,6/1/2026,98.16,98.19,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-07,ca135087e679,7/21/2015
"Canada, Government of...",CAD,1.00%,2.82%,Aaa,6/1/2027,95.86,95.89,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-07,ca135087f825,8/3/2016
"Canada, Government of...",CAD,1.25%,3.14%,Aaa,3/1/2025,99.71,99.73,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-07,ca135087k528,10/11/2019
"Canada, Government of...",CAD,0.50%,3.03%,Aaa,9/1/2025,98.4,98.42,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-07,ca135087k940,4/3/2020
"Canada, Government of...",CAD,0.25%,2.96%,Aaa,3/1/2026,96.98,97,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-07,ca135087l518,10/9/2020
"Canada, Government of...",CAD,1.00%,2.88%,Aaa,9/1/2026,96.98,97.06,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-07,ca135087l930,4/16/2021
"Canada, Government of...",CAD,1.25%,2.90%,Aaa,3/1/2027,96.59,96.68,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-07,ca135087m847,10/15/2021
"Canada, Government of...",CAD,1.50%,3.09%,Aaa,4/1/2025,99.62,99.64,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-07,ca135087n340,1/24/2022
"Canada, Government of...",CAD,2.75%,2.90%,Aaa,9/1/2027,99.64,99.67,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-07,ca135087n837,5/13/2022
"Canada, Government of...",CAD,3.00%,3.00%,Aaa,10/1/2025,99.99,100.01,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-07,ca135087p246,7/25/2022
"Canada, Government of...",CAD,3.75%,-,Aaa,2/1/2025,100.01,100.03,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-07,ca135087p659,11/2/2022
"Canada, Government of...",CAD,3.25%,2.84%,Aaa,8/24/2027,101.03,101.13,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-07,ca135087p733,12/2/2022
"Canada, Government of...",CAD,3.00%,2.96%,Aaa,4/1/2026,100.06,100.08,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-07,ca135087p816,1/20/2023
"Canada, Government of...",CAD,3.75%,3.03%,Aaa,5/1/2025,100.22,100.23,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-07,ca135087q319,2/10/2023
"Canada, Government of...",CAD,3.50%,3.03%,Aaa,8/1/2025,100.26,100.27,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-07,ca135087q640,5/12/2023
"Canada, Government of...",CAD,4.50%,3.00%,Aaa,11/1/2025,101.16,101.25,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-07,ca135087q806,8/4/2023
"Canada, Government of...",CAD,4.50%,2.98%,Aaa,2/1/2026,101.6,101.61,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-07,ca135087r226,11/1/2023
"Canada, Government of...",CAD,4.00%,2.99%,Aaa,5/1/2026,101.29,101.4,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-07,ca135087r556,2/12/2024
"Canada, Government of...",CAD,4.00%,2.98%,Aaa,8/3/2026,101.56,101.67,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-07,ca135087r978,5/6/2024
"Canada, Government of...",CAD,3.75%,3.03%,Aaa,5/1/2025,100.22,100.23,https://markets.businessinsider.com/bonds/finder?p=2&borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-07,ca135087q319,2/10/2023
"Canada, Government of...",CAD,8.00%,2.84%,Aaa,6/1/2027,111.83,111.96,https://markets.businessinsider.com/bonds/finder?p=2&borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-07,ca135087vw17,5/1/1996
"Canada, Government of...",CAD,3.75%,-,Aaa,2/1/2025,100.01,100.03,https://markets.businessinsider.com/bonds/finder?p=2&borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-07,ca135087p659,11/2/2022
"Canada, Government of...",CAD,0.50%,3.03%,Aaa,9/1/2025,98.4,98.42,https://markets.businessinsider.com/bonds/finder?p=2&borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-07,ca135087k940,4/3/2020
"Canada, Government of...",CAD,2.50%,3.13%,Aaa,12/1/2032,95.55,95.8,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=midterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-07,ca135087p329,8/8/2022
"Canada, Government of...",CAD,3.25%,2.90%,Aaa,9/1/2028,101.18,101.41,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=midterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-07,ca135087q491,4/21/2023
"Canada, Government of...",CAD,2.25%,2.97%,Aaa,12/1/2029,96.52,97.38,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=midterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-07,ca135087n670,3/29/2022
"Canada, Government of...",CAD,3.50%,2.95%,Aaa,9/1/2029,102.32,102.45,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=midterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-07,ca135087r895,4/8/2024
"Canada, Government of...",CAD,1.50%,3.08%,Aaa,12/1/2031,90.23,90.49,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=midterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-07,ca135087n266,10/25/2021
"Canada, Government of...",CAD,3.25%,3.20%,Aaa,12/1/2034,100.27,100.42,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=midterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-07,ca135087s216,7/12/2024
"Canada, Government of...",CAD,1.50%,3.06%,Aaa,6/1/2031,91.01,91.26,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=midterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-07,ca135087m276,4/26/2021
"Canada, Government of...",CAD,3.00%,3.19%,Aaa,6/1/2034,98.38,98.52,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=midterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-07,ca135087r481,12/27/2023
"Canada, Government of...",CAD,2.75%,2.97%,Aaa,3/1/2030,98.6,98.6,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=midterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-07,ca135087s471,10/3/2024
"Canada, Government of...",CAD,4.00%,2.92%,Aaa,3/1/2029,104.16,104.29,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=midterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-07,ca135087q988,10/13/2023
"Canada, Government of...",CAD,2.00%,2.87%,Aaa,6/1/2028,97.2,97.26,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=midterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-07,ca135087h235,8/1/2017
"Canada, Government of...",CAD,0.50%,3.03%,Aaa,12/1/2030,86.46,86.69,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=midterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-07,ca135087l443,10/5/2020
"Canada, Government of...",CAD,3.50%,2.88%,Aaa,3/1/2028,101.84,102.07,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=midterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-07,ca135087p576,10/21/2022
"Canada, Government of...",CAD,3.50%,3.17%,Aaa,3/1/2034,102.51,102.65,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=midterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-07,ca135087r713,3/1/2024
"Canada, Government of...",CAD,2.25%,2.85%,Aaa,6/1/2029,97.55,97.78,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=midterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-07,ca135087j397,7/27/2018
"Canada, Government of...",CAD,5.75%,2.86%,Aaa,6/1/2029,111.77,111.88,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=midterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-07,ca135087wl43,2/2/1998
"Canada, Government of...",CAD,2.00%,3.11%,Aaa,6/1/2032,92.64,92.89,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=midterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-07,ca135087n597,3/16/2022
"Canada, Government of...",CAD,5.75%,3.18%,Aaa,6/1/2033,118.61,119.07,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=midterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-07,ca135087xg49,10/15/2001
"Canada, Government of...",CAD,3.25%,3.19%,Aaa,12/1/2033,100.41,100.75,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=midterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-07,ca135087q723,6/26/2023
"Canada, Government of...",CAD,1.25%,2.91%,Aaa,3/1/2027,96.59,96.62,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-08,ca135087m847,10/15/2021
"Canada, Government of...",CAD,0.50%,3.02%,Aaa,9/1/2025,98.4,98.42,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-08,ca135087k940,4/3/2020
"Canada, Government of...",CAD,0.25%,2.98%,Aaa,3/1/2026,96.96,96.98,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-08,ca135087l518,10/9/2020
"Canada, Government of...",CAD,3.25%,2.83%,Aaa,8/24/2027,100.97,101.07,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-08,ca135087p733,12/2/2022
"Canada, Government of...",CAD,8.00%,2.81%,Aaa,6/1/2027,111.64,111.92,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-08,ca135087vw17,5/1/1996
"Canada, Government of...",CAD,1.00%,2.83%,Aaa,6/1/2027,95.71,95.93,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-08,ca135087f825,8/3/2016
"Canada, Government of...",CAD,1.25%,3.18%,Aaa,3/1/2025,99.72,99.73,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-08,ca135087k528,10/11/2019
"Canada, Government of...",CAD,3.75%,3.03%,Aaa,5/1/2025,100.21,100.22,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-08,ca135087q319,2/10/2023
"Canada, Government of...",CAD,3.75%,-,Aaa,2/1/2025,100.03,100.04,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-08,ca135087p659,11/2/2022
"Canada, Government of...",CAD,3.50%,3.04%,Aaa,8/1/2025,100.24,100.25,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-08,ca135087q640,5/12/2023
"Canada, Government of...",CAD,9.00%,3.02%,Aaa,6/1/2025,102.23,102.45,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-08,ca135087vh40,8/2/1994
"Canada, Government of...",CAD,1.50%,2.89%,Aaa,6/1/2026,98.14,98.21,https://markets.businessinsider.com/bonds/finder?borrower=71&maturity=shortterm&yield=&bondtype=2%2c3%2c4%2c16&coupon=&currency=184&rating=&country=19,2025-01-08,ca135087e679,7/21/2015
